date,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_vol,taker_buy_quote_vol,ignore,30ma
2021-01-29 00:00:00,32266.36000000,37990.00000000,32006.91000000,37025.32000000,74717.37040600,1611921599999,2682750235.99663093,1316291,40269.05425600,1443964076.19589358,0,
2021-01-29 04:00:00,37023.83000000,38531.90000000,36456.78000000,37129.40000000,39582.77915100,1611935999999,1480385937.42974301,786707,19849.37607000,742761806.62234508,0,
2021-01-29 08:00:00,37129.40000000,37569.00000000,33500.00000000,34318.57000000,41001.26865000,1611950399999,1456938433.92747831,716740,19431.25450100,691043344.61804455,0,
2021-01-29 12:00:00,34322.50000000,35354.94000000,33700.00000000,34252.20000000,21414.72128900,1611964799999,738389050.60671986,475557,10018.20642800,345447469.35023514,0,
2021-01-29 16:00:00,34246.28000000,34933.00000000,32825.00000000,33273.36000000,19111.75679400,1611979199999,649587224.97039200,415979,9455.88002800,321764138.45055258,0,
2021-01-29 20:00:00,33273.36000000,34200.00000000,33001.52000000,34046.80000000,15377.31394800,1611993599999,515738731.86226876,403923,7617.26860500,255570714.81087928,0,
2021-01-30 00:00:00,34046.82000000,34424.70000000,33510.00000000,33660.40000000,15905.50680000,1612007999999,542203974.91616335,353843,7665.68244100,261318500.19748077,0,
2021-01-30 04:00:00,33660.40000000,34500.00000000,33410.63000000,34210.20000000,11980.51146400,1612022399999,407358942.58166432,333598,6401.04177700,217699659.36490194,0,
2021-01-30 08:00:00,34210.18000000,34400.02000000,33520.00000000,34286.50000000,13229.45544100,1612036799999,450347242.82384489,412108,6619.56475800,225395794.83993277,0,
2021-01-30 12:00:00,34286.50000000,34800.00000000,33966.40000000,34262.88000000,9285.13689300,1612051199999,319263945.78374510,281589,4659.02949000,160232592.98989091,0,
2021-01-30 16:00:00,34262.89000000,34342.69000000,33655.00000000,33930.21000000,9135.95818200,1612065599999,310542284.99313524,247552,4382.39559300,148979042.25611460,0,
2021-01-30 20:00:00,33930.22000000,34127.65000000,33450.00000000,33607.98000000,7736.68868400,1612079999999,261383670.97428180,212516,3719.98684500,125702512.64885636,0,
2021-01-31 00:00:00,33607.68000000,33832.94000000,33205.00000000,33563.23000000,9660.99340400,1612094399999,324275560.78096249,247368,4827.61726700,162083808.23774011,0,
2021-01-31 04:00:00,33563.24000000,34220.00000000,32554.00000000,32862.66000000,15985.65861600,1612108799999,534188589.86195679,361848,7506.56836900,251072458.42554459,0,
2021-01-31 08:00:00,32862.65000000,33077.90000000,32171.67000000,32808.80000000,15824.56626800,1612123199999,517415474.34302285,357854,7389.90589000,241682179.69824223,0,
2021-01-31 12:00:00,32807.29000000,33255.49000000,32461.23000000,33092.98000000,10398.41523000,1612137599999,341835464.80465316,279926,4653.97339400,152982550.25407325,0,
2021-01-31 16:00:00,33092.97000000,33830.00000000,32296.16000000,33573.97000000,14674.64903800,1612151999999,486639234.91791628,311289,7561.72717200,250878102.02691746,0,
2021-01-31 20:00:00,33573.25000000,34427.00000000,33284.24000000,33803.97000000,15350.21249100,1612166399999,517508556.10016110,371011,8060.37970500,271871677.94309386,0,
2021-02-01 00:00:00,33802.60000000,34717.27000000,33589.23000000,34183.33000000,19521.50787200,1612180799999,668190300.35654839,443925,10118.90986200,346365404.89314601,0,
2021-02-01 04:00:00,34183.33000000,34460.00000000,33160.00000000,33160.17000000,17478.70659700,1612195199999,590750845.68806134,321562,8453.47249000,285842941.15167942,0,
2021-02-01 08:00:00,33160.00000000,34100.00000000,33133.26000000,33838.13000000,9133.51937400,1612209599999,307584858.90383500,219926,4387.47353100,147811899.57991859,0,
2021-02-01 12:00:00,33838.13000000,34039.00000000,33430.76000000,33526.37000000,6559.68151000,1612223999999,221102862.03908349,142779,3273.87872600,110388941.13334258,0,
2021-02-01 16:00:00,33517.09000000,34161.39000000,33418.00000000,33550.32000000,9103.94322500,1612238399999,307040784.95061120,219248,4510.39592300,152174420.37068190,0,
2021-02-01 20:00:00,33554.08000000,34400.00000000,33500.00000000,34223.38000000,10429.38599700,1612252799999,355145309.03602772,252378,5282.60736200,179908775.63473496,0,
2021-02-02 00:00:00,34223.38000000,35668.10000000,34080.00000000,34720.15000000,22068.65874800,1612267199999,772307239.59237345,408552,11580.65545900,405252814.98811501,0,
2021-02-02 04:00:00,34722.97000000,35200.00000000,34333.00000000,34708.47000000,12709.43450700,1612281599999,442356748.70850806,298935,6229.91251600,216896888.83358083,0,
2021-02-02 08:00:00,34708.47000000,35800.00000000,34556.85000000,35762.03000000,13461.67164200,1612295999999,472336368.58436420,330591,6802.83541000,238807907.18857529,0,
2021-02-02 12:00:00,35762.05000000,35984.33000000,35466.00000000,35466.24000000,10283.56576100,1612310399999,367135445.44572388,279968,4810.15643600,171750157.62121160,0,
2021-02-02 16:00:00,35472.71000000,36500.00000000,35362.38000000,36403.47000000,13559.34709300,1612324799999,488469184.24959473,262488,6613.17085600,238246394.77519477,0,
2021-02-02 20:00:00,36403.47000000,36845.00000000,36231.66000000,36297.57000000,11921.87584900,1612339199999,435948196.37697288,278799,6164.08934400,225429225.44421975,0,
2021-02-03 00:00:00,36297.58000000,36299.98000000,35511.00000000,35969.41000000,13023.20914700,1612353599999,467808618.71521773,272670,6487.06129300,232962098.60700503,0,
2021-02-03 04:00:00,35969.41000000,36917.27000000,35810.90000000,36850.00000000,15213.60542600,1612367999999,555266460.38443101,357048,7259.41067200,264946748.64855092,0,
2021-02-03 08:00:00,36850.00000000,37221.42000000,36643.07000000,36788.89000000,15217.45964600,1612382399999,562621103.52833556,383346,7754.87748800,286748646.56852338,0,
2021-02-03 12:00:00,36788.89000000,37662.63000000,36644.44000000,37618.87000000,11848.83650200,1612396799999,441119224.92975337,327389,5584.46540700,207914932.09842330,0,
2021-02-03 16:00:00,37620.26000000,38288.00000000,37363.17000000,37498.78000000,16048.73080800,1612411199999,608004223.69317824,355925,8449.68141700,320213326.01476132,0,
2021-02-03 20:00:00,37498.78000000,38195.00000000,37326.83000000,37843.40000000,11666.89534000,1612425599999,441316917.42963777,292995,5719.33695100,216441521.93948879,0,
2021-02-04 00:00:00,37843.40000000,38708.27000000,36662.45000000,37321.75000000,23737.16577300,1612439999999,895212091.00859659,543177,12027.41388700,454070925.67598899,0,
2021-02-04 04:00:00,37319.43000000,37763.57000000,36161.95000000,36564.23000000,16990.98979300,1612454399999,629892600.77624167,395434,8178.61319000,303018705.88443292,0,
2021-02-04 08:00:00,36564.23000000,37499.99000000,36399.79000000,37467.18000000,12863.24217000,1612468799999,475606559.52122839,328899,6133.29588300,226793052.59752765,0,
2021-02-04 12:00:00,37467.18000000,37783.83000000,36841.77000000,36936.66000000,10773.71201400,1612483199999,402636629.72440985,295436,5007.87236200,187172481.77733877,0,
2021-02-04 16:00:00,36936.65000000,37400.00000000,36570.00000000,37366.02000000,10632.92953400,1612497599999,393533177.24070639,266116,5319.05325000,196937933.93211214,0,
2021-02-04 20:00:00,37366.01000000,37727.22000000,36995.27000000,37653.98000000,9321.43907300,1612511999999,348445150.16540519,255695,4897.68811900,183102485.77598607,0,
2021-02-05 00:00:00,37659.64000000,37800.00000000,37200.00000000,37691.32000000,10411.09718200,1612526399999,391038070.53887115,290509,5027.98030600,188874150.73311477,0,
2021-02-05 04:00:00,37691.32000000,38310.12000000,37527.14000000,37960.76000000,16107.66023700,1612540799999,612700243.97892430,446214,7994.06870400,304068118.01844293,0,
2021-02-05 08:00:00,37960.76000000,38163.34000000,37230.00000000,37608.92000000,12503.52316000,1612555199999,472071206.71866133,349562,5590.57294500,211090059.96096860,0,
2021-02-05 12:00:00,37608.91000000,38309.00000000,37485.94000000,38290.24000000,7704.68508900,1612569599999,291490443.10901825,245157,3927.02170700,148641131.41751382,0,
2021-02-05 16:00:00,38289.32000000,39666.00000000,38215.94000000,39384.74000000,25430.06681200,1612583999999,991966182.61911841,565061,14418.57924400,562357143.63168226,0,
2021-02-05 20:00:00,39386.92000000,39488.62000000,38600.00000000,39359.12000000,10697.93160200,1612598399999,419137504.58506185,239516,5418.68788800,212325569.15980876,0,
2021-02-06 00:00:00,39362.27000000,40479.86000000,39297.75000000,40199.99000000,18448.75608700,1612612799999,735946330.47820036,399444,10151.42472900,404982438.36064609,0,
2021-02-06 04:00:00,40199.52000000,40866.66000000,39836.72000000,40864.73000000,15572.22546200,1612627199999,627896167.53266264,390738,8122.65519400,327597515.87680978,0,
2021-02-06 08:00:00,40865.12000000,40955.51000000,39940.44000000,40179.42000000,14276.24785700,1612641599999,577165950.50814653,361700,7267.55833800,293828154.29740704,0,
2021-02-06 12:00:00,40179.42000000,40469.19000000,39035.33000000,39186.94000000,14332.08336300,1612655999999,569983013.20496068,335187,6636.60796900,264089926.02087012,0,
2021-02-06 16:00:00,39181.01000000,39611.04000000,38344.00000000,38841.46000000,16160.62467300,1612670399999,629273510.92333445,378299,7298.51032000,284328744.67727785,0,
2021-02-06 20:00:00,38839.52000000,39094.36000000,37923.00000000,39030.00000000,12893.36498800,1612684799999,496793802.36781548,304945,6153.17195200,237199608.96799595,0,
2021-02-07 00:00:00,39030.00000000,39700.00000000,38762.16000000,39046.60000000,12809.52363900,1612699199999,503390320.76768901,292015,6921.04620900,271992106.83678364,0,
2021-02-07 04:00:00,39044.37000000,39272.69000000,37580.00000000,37921.11000000,17482.43892500,1612713599999,671317789.93055920,395976,8205.08685900,315258695.04247463,0,
2021-02-07 08:00:00,37921.12000000,38444.00000000,37351.00000000,38050.00000000,14665.03998200,1612727999999,556974714.55290719,339153,6996.10202800,265737983.69892719,0,
2021-02-07 12:00:00,38050.00000000,39080.00000000,37660.97000000,38795.69000000,10352.68755600,1612742399999,398771245.69830560,265969,5190.47159100,199965768.34044299,0,
2021-02-07 16:00:00,38795.69000000,39130.00000000,37988.89000000,38076.06000000,10542.21686300,1612756799999,406516387.66389009,229520,5039.16024100,194338976.48230580,0,
2021-02-07 20:00:00,38073.02000000,39391.78000000,37992.39000000,39269.95000000,10267.21994500,1612771199999,398699394.54122664,231369,5233.39843700,203314075.08020804,0,
2021-02-08 00:00:00,39269.78000000,39498.99000000,38844.75000000,39423.08000000,10896.46518300,1612785599999,427345637.82577243,312912,5594.81207600,219449913.24367027,0,
